528,429,784,429,784,456,528,456,0.99973184
432,548,912,548,912,577,432,577,0.9997136
464,267,800,267,800,297,464,297,0.9997098
320,23,928,23,928,56,320,56,0.999686
320,325,752,325,752,351,320,351,0.9996766
320,251,448,251,448,273,320,273,0.9996761
416,59,816,59,816,88,416,88,0.9996753
320,497,496,497,496,522,320,522,0.9996753
320,375,496,375,496,400,320,400,0.9996697
320,425,448,425,448,449,320,449,0.99966943
16,564,352,564,352,592,16,592,0.9996679
368,110,864,110,864,152,368,152,0.99966264
560,372,848,372,848,400,560,400,0.9996606
368,161,848,161,848,210,368,210,0.99965763
560,502,752,502,752,530,560,530,0.9996543
